To Site	Subsidiary	Region	Country
EECK	LGECK	EU	Czech
EEAK	LGEAK	CIS	Kazakhstan
EEAK_UZ_TJ	LGEAK	CIS	Kazakhstan
ERRA	LGERA	CIS	Russia
ERRA_DC	LGERA	CIS	Russia
ERRA_MINSK_DO	LGERA	CIS	Russia
EMDF_UR_DO	LGEUR	CIS	
EEDG_AG	LGEDG	EU	Austria
EEBN	LGEBN	EU	Netherlands
EEPL_CZ	LGECZ	EU	Czech
EEDG	LGEDG	EU	Germany
EEDG_PL	LGEDG	EU	Germany
EEES	LGEES	EU	Spain
EEFS	LGEFS	EU	France
EEHS	LGEHS	EU	Greece
EEIS	LGEIS	EU	Italy
EELA	LGELA	EU	Latvia
EEMK	LGEMK	EU	Hungary
EEPL	LGEPL	EU	Poland
EEPT	LGEPT	EU	Portugal
EERO	LGERO	EU	Romania
EESW	LGESW	EU	Sweden
EEUK	LGEUK	EU	UK
EAIL	LGEIL	INDIA	India
EKHQ	LGEKR	KOREA	Korea
ASMA_DS	LGEEG	MEA	Egypt
EFEG	LGEEG	MEA	Egypt
EFEG_EAEG_DS	LGEEG	MEA	Egypt
QDS_DS	LGEEG	MEA	Egypt
EMGF	LGEGF	MEA	UAE
EMGF_ECHODUBAI_DO	LGEGF	MEA	UAE
EMGF_MES_DO	LGEGF	MEA	UAE
EMGF_MITSUMI_DO	LGEGF	MEA	UAE
EMGF_NAAM_DO	LGEGF	MEA	UAE
EMGF_OGE_DO	LGEGF	MEA	UAE
EMGF_PCI_DO	LGEGF	MEA	UAE
EMGF_PRONYX_DO	LGEGF	MEA	UAE
EMGF_SALEM_DO	LGEGF	MEA	UAE
EMGF_TRIGON_DO	LGEGF	MEA	UAE
EMGF_VEGAGULF_DO	LGEGF	MEA	UAE
EMGF_VEGAWORLD_DO	LGEGF	MEA	UAE
EMLF_KHOSHNAW_DO	LGELF	MEA	
EFSA	LGESA	MEA	South Africa
EFSA_DRAGON_DO	LGESA	MEA	South Africa
EMSB_ALMANA_DO	LGESB	MEA	Saudi Arabia
EMSB_BETA_DO	LGESB	MEA	Saudi Arabia
EMSB_EMAM_DO	LGESB	MEA	Saudi Arabia
EMSB_EXTRA_DO	LGESB	MEA	Saudi Arabia
EMSB_JARRIR_DO	LGESB	MEA	Saudi Arabia
EMSB_NAGHI_DO	LGESB	MEA	Saudi Arabia
EMSB_RAWAB_DO	LGESB	MEA	Saudi Arabia
ABDULWAHED_DS	LGESJ	MEA	Saudi Arabia
BETA_DS	LGESJ	MEA	Saudi Arabia
EMSJ	LGESJ	MEA	Saudi Arabia
EMSJ_ABDULWAHED_M_DO	LGESJ	MEA	Saudi Arabia
EMSJ_BETA_M_DO	LGESJ	MEA	Saudi Arabia
EMSJ_EMAM_M_DO	LGESJ	MEA	Saudi Arabia
EMSJ_EXTRA_M_DO	LGESJ	MEA	Saudi Arabia
EMSJ_JARIR_M_DO	LGESJ	MEA	Saudi Arabia
EMSJ_NAGHI_M_DO	LGESJ	MEA	Saudi Arabia
EMTK	LGETK	MEA	Turkiye
EMYK_HYE_DO	LGEYK	MEA	Israel
BLOOMBERG_DS	BLOOMBERG	NA	
ENCI	LGECI	NA	Canada
ENUS_V	LGEUS	NA	US
APPLE_DS	APPLE	OTHERS	
BALWICK_DS	LGEAR	SCA	
JUKEBOX_DS	LGEAR	SCA	Argentina
ESCB	LGECB	SCA	Colombia
EHTECNOLOGIA_DS	LGECL	SCA	Chile
ESCL_IQQ	LGECL	SCA	Chile
ESCL_STG	LGECL	SCA	Chile
KARRY_DS	LGECL	SCA	Chile
SOLUTION_DS	LGECL	SCA	Chile
ENMS	LGEMS	SCA	Mexico
ESPR	LGEPR	SCA	Peru
ESPR_BO_DO	LGEPR	SCA	Peru
ESPR_DO	LGEPR	SCA	Peru
ESPR_PY_DO	LGEPR	SCA	Peru
ESPR_UY_DO	LGEPR	SCA	Peru
ESPS	LGEPS	SCA	Panama
ESPS_DO	LGEPS	SCA	Panama
ESPS_EC_DO	LGEPS	SCA	Panama
ESPS_GT_DO	LGEPS	SCA	Panama
ESPS_US_DO	LGEPS	SCA	Panama
BIOSCAN_DS	LGESP	SCA	
ESSP	LGESP	SCA	Brazil
EHAP_LGB	LGEAP	SEA	Austrailia
EHAP_LGM	LGEAP	SEA	Austrailia
EHAP_LGP	LGEAP	SEA	Austrailia
EHAP_LGS	LGEAP	SEA	Austrailia
EHAP_NZA	LGEAP	SEA	New Zealand
ECCH	LGECH	SEA	China
ECHK	LGEHK	SEA	HongKong
EAIN_DC	LGEIN	SEA	Indonesia
EJJP	LGEJP	SEA	Japan
EJJP_AMAZON_DO	LGEJP	SEA	Japan
EAML	LGEML	SEA	Malaysia
EACM	LGEPH	SEA	Philippines
EASL	LGESL	SEA	Singapore
EASL_DO	LGESL	SEA	Singapore
EATH	LGETH	SEA	Thailand
EATT	LGETT	SEA	Taiwan
EAVH_HCM	LGEVH	SEA	Vietnam
EAVH_HN	LGEVH	SEA	Vietnam
CARDIO_DS	LGEPR	SCA	Peru
EAIL_DC	LGEIL	INDIA	India
EMGF_ALTA_DO	LGEGF	MEA	UAE
ECNT_P	LGEND	CHINA	China
EESW_ELKJOP_DO	LGESW	EU	Sweden
ENUS_TX	LGEUS	NA	US
ENUS_CA	LGEUS	NA	US
ECNT	LGEND	CHINA	China
EAIN_ID	LGEIN	SEA	Indonesia
EMGF_VIDEOHOME_DO	LGEGF	MEA	UAE
EMTU_TND_DO	LGETU	MEA	Tunisia
EFSA_P	LGESA	MEA	South Africa
EAIN_ID_V	LGEIN	SEA	Indonesia
EMDF_UR_GDANSK	LGEUR	CIS	Ukraine
ESPS_MI_DO	LGEPS	SCA	Panama
EASL_BD_DO	LGESL	SEA	Singapore
ERRA_MINSK_BWT	LGERA	CIS	Russia
